MDS1,MDS2,Source
-1.08786070139443,-0.515329652985209,Chicken
-1.38306268740983,-0.114842922457659,Chicken
-1.25330959489285,-0.287353865681413,Chicken
-0.959413512326784,-1.31554228505517,Chicken
-1.44234097424634,0.000844499133851096,Chicken
-1.37020371816532,-0.0553678904036477,Chicken
-1.37377450020002,-0.248629683186908,Chicken
-1.63742887197291,0.0533269496186241,Chicken
-1.44063828674584,-0.0023271328082146,Chicken
-1.41729350561886,-0.0850736814917937,Chicken
-1.25338263374176,-0.13179178333927,Chicken
-1.58356910947585,0.00110247519847775,Chicken
-1.1596517248567,-0.511237510762013,Chicken
-1.21347156451391,-0.0648496654432535,Chicken
-1.39047797160582,-0.0293593408559711,Chicken
-1.36510953888264,-0.13957493898058,Chicken
-1.43305427790855,-0.410112762409783,Chicken
-1.19817163741208,-0.459587057607604,Chicken
-1.19817294025769,-0.213120012388082,Chicken
-1.06230070165465,-0.89822591453527,Chicken
-1.32102791161686,-0.137257288547254,Chicken
-1.20150801632338,-0.222477859819345,Chicken
-1.42279847992399,0.0278965612228344,Chicken
-1.06459057582673,-0.479982109448419,Chicken
-1.08448927327764,-0.791741874435893,Chicken
-1.43103209711529,-0.0333815852658478,Chicken
-1.22237441974901,-0.125911279800166,Chicken
-1.19720006763925,-0.274279684592044,Chicken
-1.18597294045898,-0.311273063115755,Chicken
-1.14986345632864,-0.163510815359171,Chicken
-1.24165319244438,-0.331140761845505,Chicken
-1.27165366409496,-0.0722106828846162,Chicken
-1.01375635576324,-0.579208840526863,Chicken
-1.07957254633836,-1.34585801795473,Chicken
-1.37833126066618,-0.535001416867222,Chicken
-1.11378107085425,-0.925103466872288,Chicken
-1.62344370412675,-0.52538379975464,Chicken
-1.2611049136855,-0.766249554205567,Chicken
-1.47042738355486,-0.93024901951494,Chicken
-1.35124445681167,-0.0996175798517698,Chicken
-1.54388807702299,-0.00838903668638086,Chicken
-1.53178280826448,-0.0367069492888332,Chicken
-1.21052086937058,-0.311519022586245,Chicken
-1.38130987912662,-0.127172498887545,Chicken
-1.40212028734974,-0.0146218141058588,Chicken
-1.26161645745998,-0.10558240784624,Chicken
-1.49091533319368,0.0514318860043245,Chicken
-1.45262468632477,-0.117898730701226,Chicken
-1.41070006207256,-0.0923926146952352,Chicken
-1.36095694654744,-0.0105189782439559,Chicken
-1.36227461703925,-0.349481602306272,Chicken
-0.673401132890735,-0.918643600969111,Chicken
-1.48065753218533,-0.00255866568017901,Chicken
-1.36166120918864,-0.210552015895916,Chicken
-0.959388233098372,-0.707206746759257,Chicken
-1.03932210886946,-0.20116172548845,Chicken
-1.54178362646024,0.0212903913989529,Chicken
-0.967270322075322,-0.599791959796072,Chicken
-0.819834504919817,-0.613182255070046,Chicken
-1.53776435826072,-0.405020677982421,Chicken
-1.52435936808639,0.03314936440014,Chicken
-1.58283650804642,-0.126523158505318,Chicken
-1.37097854528014,-0.161877006992868,Chicken
