Species	Category	Rate
Chick	Phage	0.08286
Chick	Phage	0.07557
Chick	Phage	0.10607
Chick	Phage	0.06596
Chick	Phage	0.10275
Chick	Phage	0.10641
Chick	Phage	0.17702
Chick	Phage	0.08104
Chick	Phage	0.10633
Chick	Phage	0.12483
Chick	Phage	0.04679
Chick	Phage	0.08505
Chick	Phage	0.06512
Chick	Phage	0.04747
Chick	Phage	0.06732
Chick	Phage	0.10669
Chick	Phage	0.05555
Chick	Phage	0.04444
Chick	Phage	0.04563
Chick	Phage	0.07874
Chick	Phage	0.07199
Chick	Phage	0.06904
Chick	Phage	0.04623
Chick	Phage	0.05636
Chick	Phage	0.06144
Chick	Phage	0.05513
Chick	Phage	0.06148
Chick	Phage	0.06295
Chick	Phage	0.05999
Chick	Phage	0.04989
Chick	Phage	0.07183
Chick	Phage	0.05218
Chick	Phage	0.06033
Chick	Phage	0.0589
Chick	Phage	0.07062
Chick	Phage	0.06356
Chick	Phage	0.0494
Chick	Phage	0.05585
Chick	Phage	0.07657
Chick	Phage	0.06939
Chick	Phage	0.07664
Chick	Phage	0.10628
Chick	Phage	0.10035
Chick	Phage	0.0959
Chick	Phage	0.10451
Chick	Phage	0.11048
Chick	Phage	0.08896
Chick	Phage	0.10531
Chick	Phage	0.07363
Chick	Phage	0.15663
Chick	Phage	0.07007
Chick	Phage	0.10875
Chick	Phage	0.08164
Chick	Phage	0.0595
Chick	Phage	0.05773
Chick	Phage	0.08694
Chick	Phage	0.10169
Chick	Phage	0.07651
Chick	Phage	0.0787
Chick	Phage	0.07988
Chick	Phage	0.0536
Chick	Phage	0.04415
Chick	Phage	0.06141
Chick	Phage	0.05769
Chick	Phage	0.07261
Chick	Phage	0.07026
Chick	Phage	0.06605
Chick	Phage	0.05972
Chick	Phage	0.10401
Chick	Phage	0.15372
Chick	Phage	0.07732
Chick	Phage	0.09042
Chick	Phage	0.18328
Chick	Phage	0.08169
Chick	Phage	0.06104
Chick	Phage	0.06445
Chick	Phage	0.09885
Chick	Phage	0.11939
Chick	Phage	0.05597
Chick	Phage	0.0485
Chick	Phage	0.08133
Chick	Phage	0.09513
Chick	Phage	0.07415
Chick	Phage	0.05824
Chick	Phage	0.08413
Chick	Phage	0.1257
Chick	Phage	0.06293
Chick	Phage	0.08768
Chick	Phage	0.0746
Chick	Phage	0.05975
Chick	Phage	0.07079
Chick	Phage	0.06182
Chick	Phage	0.09215
Chick	Phage	0.06922
Chick	Phage	0.06293
Chick	Phage	0.06262
Chick	Phage	0.06037
Chick	Phage	0.07537
Chick	Phage	0.0624
Chick	Phage	0.07974
Chick	Phage	0.08691
Chick	Phage	0.09377
Chick	Phage	0.07191
Chick	Phage	0.10741
Chick	Phage	0.06324
Chick	Phage	0.06563
Chick	Phage	0.07838
Chick	Phage	0.07816
Chick	Phage	0.10609
Chick	Phage	0.10548
Chick	Phage	0.07023
Chick	Phage	0.06837
Chick	Phage	0.08517
Chick	Phage	0.08221
Chick	Phage	0.08018
Chick	Phage	0.06671
Chick	Phage	0.09215
Chick	Phage	0.07276
Chick	Phage	0.06262
Chick	Phage	0.05368
Chick	Phage	0.01708
Chick	Phage	0.08544
Chick	Phage	0.09362
Chick	Phage	0.07247
Chick	Phage	0.04813
Chick	Phage	0.05268
Chick	Phage	0.0585
Chick	Phage	0.055
Chick	Phage	0.15873
Chick	Phage	0.1486
Chick	Phage	0.05417
Chick	Phage	0.04662
Chick	Phage	0.11016
Chick	Phage	0.0681
Chick	Phage	0.06958
Chick	Phage	0.06782
Chick	Phage	0.09202
Chick	Phage	0.04858
Chick	Phage	0.00928
Chick	Phage	0.01569
Chick	Phage	0.01034
Chick	Phage	0.00712
Chick	Phage	0.01366
Chick	Phage	0.02513
Chick	Phage	0.02474
Chick	Phage	0.02983
Chick	Phage	0.00507
Chick	Phage	0.00253
Chick	Phage	0.00898
Chick	Phage	0.00723
Chick	Phage	0.02983
Chick	Phage	0.01514
Chick	Phage	0.01366
Chick	Phage	0.01152
Chick	Phage	0.0181
Chick	Phage	0.01193
Chick	Phage	0.01193
Chick	Phage	0.00659
Chick	Phage	0.01251
Chick	Phage	0.01134
Chick	Phage	0.01504
Chick	Phage	0.00898
Chick	Phage	0.02159
Chick	Phage	0.00227
Chick	Phage	0.00659
Chick	Phage	0.01569
Chick	Phage	0.01248
Chick	Phage	0.01671
Chick	Phage	0.02474
Chick	Phage	0.01052
Chick	Phage	0.01283
Chick	Phage	0.01248
Chick	Phage	0.00836
Chick	Phage	0.02359
Chick	Phage	0.02422
Chick	Phage	0.0507
Chick	Phage	0.0586
Chick	Phage	0.03566
Chick	Phage	0.19493
Chick	Phage	0.02897
Chick	Phage	0.01668
Chick	Phage	0.03126
Chick	Phage	0.04819
Chick	Phage	0.02349
Chick	Phage	0.02628
Chick	Phage	0.02531
Chick	Phage	0.04506
Chick	Phage	0.03782
Chick	Phage	0.04743
Chick	Phage	0.05333
Chick	Phage	0.06542
Chick	Phage	0.02686
Chick	Phage	0.00561
Chick	Phage	0.04341
Chick	Phage	0.02947
Chick	Phage	0.02109
Chick	Phage	0.02251
Chick	Phage	0.01296
Chick	Phage	0.01624
Chick	Phage	0.03407
Chick	Phage	0.00449
Chick	Phage	0.00698
Chick	Phage	0.03143
Chick	Phage	0.04287
Chick	Phage	0.04868
Chick	Phage	0.12712
Chick	Phage	0.07669
Chick	Phage	0.05239
Chick	Phage	0.09906
Chick	Phage	0.02806
Chick	Phage	0.03953
Chick	Phage	0.03036
Chick	Phage	0.0328
Chick	Phage	0.02892
Chick	Phage	0.02553
Chick	Phage	0.03445
Chick	Phage	0.01904
Chick	Phage	0.02112
Chick	Phage	0.01937
Chick	Phage	0.01487
Chick	Phage	0.03128
Chick	Phage	0.02382
Chick	Phage	0.04547
Chick	Phage	0.04501
Chick	Phage	0.01976
Chick	Phage	0.02699
Chick	Phage	0.02325
Chick	Phage	0.01555
Chick	Phage	0.0375
Chick	Phage	0.04597
Chick	Phage	0.0515
Chick	Phage	0.04219
Chick	Phage	0.01962
Chick	Phage	0.02591
Chick	Phage	0.01687
Chick	Phage	0.0432
Chick	Phage	0.03007
Chick	Phage	0.03667
Chick	Phage	0.02812
Chick	Phage	0.04262
Chick	Phage	0.02284
Chick	Phage	0.0264
Chick	Phage	0.035
Chick	Phage	0.02443
Chick	Phage	0.02863
Chick	Phage	0.03403
Chick	Phage	0.02884
Chick	Phage	0.08718
Chick	Phage	0.15809
Chick	Phage	0.03319
Chick	Phage	0.0283
Chick	Phage	0.01319
Chick	Phage	0.02991
Chick	Phage	0.05315
Chick	Phage	0.02188
Chick	Phage	0.02903
Chick	Phage	0.04895
Chick	Phage	0.00712
Chick	Phage	0.01514
Chick	Phage	0.00341
Chick	Phage	0.01746
Chick	Phage	0.04308
Chick	Phage	0.00815
Chick	Phage	0.02886
Chick	Phage	0.0035
Chick	Phage	0.00622
Chick	Phage	0.02094
Chick	Phage	0.03066
Chick	Phage	0.03345
Chick	Phage	0.05051
Chick	Phage	0.03659
Chick	Phage	0.00225
Chick	Phage	0.02234
Chick	Phage	0.0123
Chick	Phage	0.02547
Chick	Phage	0.03294
Chick	Phage	0.01193
Chick	Phage	0.04194
Chick	Phage	0.06754
Chick	Phage	0.04722
Chick	Phage	0.08517
Chick	Phage	0.0535
Chick	Phage	0.03225
Chick	Phage	0.03052
Chick	Phage	0.04029
Chick	Phage	0.01116
Chick	Phage	0.06661
Chick	Phage	0.0131
Chick	Phage	0.0208
Chick	Phage	0.02032
Chick	Phage	0.03209
Chick	Phage	0.0275
Chick	Phage	0.00357
Chick	Phage	0.02416
Chick	Phage	0.00767
Chick	Phage	0.03621
Chick	Phage	0.03004
Chick	Phage	0.02364
Chick	Phage	0.07164
Chick	Phage	0.06124
Chick	Phage	0.03495
Chick	Phage	0.04962
Chick	Phage	0.09662
Chick	Phage	0.02761
Chick	Phage	0.0281
Chick	Phage	0.02211
Chick	Phage	0.11902
Chick	Phage	0.0294
Chick	Phage	0.03229
Chick	Phage	0.02718
Chick	Phage	0.02756
Chick	Phage	0.10773
Chick	Phage	0.28655
Chick	Phage	0.0274
Chick	Phage	0.0241
Chick	Phage	0.00648
Chick	Phage	0.01109
Chick	Phage	0.02509
Chick	Phage	0.03292
Chick	Phage	0.00268
Chick	Phage	0.00253
Chick	Phage	0.02695
Chick	Phage	0.02244
Chick	Phage	0.05737
Chick	Phage	0.01516
Chick	Phage	0.07219
Chick	Phage	0.24105
Chick	Phage	0.04612
Chick	Phage	0.06836
Chick	Phage	0.17092
Chick	Phage	0.08003
Chick	Phage	0.07258
Chick	Phage	0.0897
Chick	Phage	0.03016
Chick	Phage	0.03852
Chick	Phage	0.01865
Chick	Phage	0.04205
Chick	Phage	0.00721
Chick	Phage	0.02552
