otu,otu_occ,otu_rel,fill,Group,Group2
chick_phage_2471,0.357064622,2.59E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_5667,0.3932092,5.98E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_1736,0.246440307,2.86E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_2252,0.052573932,6.26E-06,no,Chicken,Chicken-no
chick_phage_367,0.841182913,0.001359853,Compartments,Chicken,Chicken-Compartments
chick_phage_356,0.13143483,5.11E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_3450,0.037239869,4.41E-06,no,Chicken,Chicken-no
chick_phage_1684,0.199342826,0.000222277,Compartments,Chicken,Chicken-Compartments
chick_phage_1658,0.502738226,1.05E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_4251,0.300109529,1.72E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_100,0.073384447,4.37E-05,no,Chicken,Chicken-no
chick_phage_2446,0.443592552,0.00020549,Compartments,Chicken,Chicken-Compartments
chick_phage_6022,0.910186199,0.001448406,Core,Chicken,Chicken-Core
chick_phage_2660,0.194961665,4.88E-06,Compartments,Chicken,Chicken-Compartments
chick_phage_5188,0.744797371,6.59E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_3464,0.3932092,3.59E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_2401,0.384446878,1.29E-05,Compartments,Chicken,Chicken-Compartments
