otu,otu_occ,otu_rel,fill,Group,Group2
chick_phage_2281,0.168674699,8.31E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_2233,0.598028478,1.87E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_879,0.104052574,4.34E-06,Compartments,Chicken,Chicken-Compartments
chick_phage_394,0.291347207,6.01E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_6278,0.841182913,0.000259188,Compartments,Chicken,Chicken-Compartments
chick_phage_6169,0.43373494,0.000120857,Compartments,Chicken,Chicken-Compartments
chick_phage_97,0.119386637,2.03E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_1951,0.672508215,3.99E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_1566,0.231106243,2.12E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_489,0.162102957,2.43E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_4136,0.631982475,6.16E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_2694,0.063526835,4.27E-06,no,Chicken,Chicken-no
chick_phage_490,0.133625411,3.04E-06,Compartments,Chicken,Chicken-Compartments
chick_phage_5082,0.580503834,3.16E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_492,0.090909091,1.03E-05,no,Chicken,Chicken-no
chick_phage_2455,0.140197152,2.14E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_1175,0.020810515,3.13E-06,no,Chicken,Chicken-no
chick_phage_5877,0.210295728,5.31E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_660,0.665936473,0.000756988,Compartments,Chicken,Chicken-Compartments
chick_phage_1707,0.207009858,0.000211718,Compartments,Chicken,Chicken-Compartments
chick_phage_79,0.486308872,5.09E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_277,0.098576123,8.53E-06,no,Chicken,Chicken-no
chick_phage_4509,0.135815991,1.33E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_902,0.117196057,5.64E-06,Compartments,Chicken,Chicken-Compartments
