index	VC	Species	Genomes
95	VC_3558	Pig	0
96	VC_1838	Pig	5
97	VC_4105	Pig	0
98	VC_1276	Pig	9
99	VC_2894	Pig	1
100	VC_3635	Pig	1
1	VC_1434	Ruminant	286
2	VC_108	Ruminant	231
3	VC_1542	Ruminant	166
4	VC_939	Ruminant	154
5	VC_2408	Ruminant	143
6	VC_3730	Ruminant	147
7	VC_109	Ruminant	56
8	VC_1435	Ruminant	73
9	VC_1856	Ruminant	140
10	VC_1207	Ruminant	105
11	VC_3712	Ruminant	130
12	VC_543	Ruminant	81
13	VC_1437	Ruminant	87
14	VC_1358	Ruminant	69
15	VC_703	Ruminant	115
16	VC_3377	Ruminant	116
17	VC_2082	Ruminant	116
18	VC_2464	Ruminant	18
19	VC_1685	Ruminant	111
20	VC_402	Ruminant	88
21	VC_3376	Ruminant	113
22	VC_1221	Ruminant	0
23	VC_544	Ruminant	85
24	VC_328	Ruminant	83
25	VC_3000	Ruminant	100
26	VC_1723	Ruminant	76
27	VC_2296	Ruminant	101
28	VC_259	Ruminant	79
29	VC_1481	Ruminant	89
30	VC_3655	Ruminant	96
31	VC_3591	Ruminant	96
32	VC_3290	Ruminant	96
33	VC_1543	Ruminant	95
34	VC_2379	Ruminant	81
35	VC_1350	Ruminant	13
36	VC_1467	Ruminant	65
37	VC_2845	Ruminant	56
38	VC_3289	Ruminant	87
39	VC_3739	Ruminant	89
40	VC_290	Ruminant	69
41	VC_1849	Ruminant	71
42	VC_2753	Ruminant	83
43	VC_3111	Ruminant	86
44	VC_3043	Ruminant	86
45	VC_1206	Ruminant	66
46	VC_1210	Ruminant	81
47	VC_1235	Ruminant	0
48	VC_1971	Ruminant	54
49	VC_3901	Ruminant	79
50	VC_2420	Ruminant	79
51	VC_2470	Ruminant	2
52	VC_2206	Ruminant	74
53	VC_1848	Ruminant	65
54	VC_3789	Ruminant	66
55	VC_4752	Ruminant	0
56	VC_1708	Ruminant	21
57	VC_2103	Ruminant	69
58	VC_4030	Ruminant	76
59	VC_3669	Ruminant	75
60	VC_612	Ruminant	73
61	VC_3288	Ruminant	71
62	VC_3718	Ruminant	74
63	VC_2331	Ruminant	61
64	VC_2801	Ruminant	1
65	VC_1450	Ruminant	56
66	VC_953	Ruminant	69
67	VC_2478	Ruminant	28
68	VC_2946	Ruminant	68
69	VC_1767	Ruminant	71
70	VC_4173	Ruminant	72
71	VC_3782	Ruminant	72
72	VC_2523	Ruminant	12
73	VC_1738	Ruminant	71
74	VC_613	Ruminant	70
75	VC_2916	Ruminant	70
76	VC_1872	Ruminant	66
77	VC_3065	Ruminant	60
78	VC_2463	Ruminant	31
79	VC_2587	Ruminant	24
80	VC_2033	Ruminant	68
81	VC_327	Ruminant	59
82	VC_330	Ruminant	48
83	VC_3044	Ruminant	67
84	VC_1754	Ruminant	53
85	VC_983	Ruminant	46
86	VC_1715	Ruminant	43
87	VC_1444	Ruminant	36
88	VC_667	Ruminant	62
89	VC_3826	Ruminant	62
90	VC_2999	Ruminant	64
91	VC_1659	Ruminant	45
92	VC_3343	Ruminant	59
93	VC_4044	Ruminant	63
94	VC_3593	Ruminant	64
95	VC_3558	Ruminant	64
96	VC_1838	Ruminant	56
97	VC_4105	Ruminant	63
98	VC_1276	Ruminant	0
99	VC_2894	Ruminant	12
100	VC_3635	Ruminant	61
1	VC_1434	sum	359
2	VC_108	sum	327
3	VC_1542	sum	166
4	VC_939	sum	162
5	VC_2408	sum	147
6	VC_3730	sum	147
7	VC_109	sum	146
8	VC_1435	sum	146
9	VC_1856	sum	144
10	VC_1207	sum	131
11	VC_3712	sum	130
12	VC_543	sum	128
13	VC_1437	sum	121
14	VC_1358	sum	120
15	VC_703	sum	118
16	VC_3377	sum	116
17	VC_2082	sum	116
18	VC_2464	sum	115
19	VC_1685	sum	115
20	VC_402	sum	114
21	VC_3376	sum	113
22	VC_1221	sum	108
23	VC_544	sum	107
24	VC_328	sum	105
25	VC_3000	sum	104
26	VC_1723	sum	103
27	VC_2296	sum	102
28	VC_259	sum	100
29	VC_1481	sum	98
30	VC_3655	sum	96
31	VC_3591	sum	96
32	VC_3290	sum	96
33	VC_1543	sum	95
34	VC_2379	sum	94
35	VC_1350	sum	93
36	VC_1467	sum	93
37	VC_2845	sum	90
38	VC_3289	sum	89
39	VC_3739	sum	89
40	VC_290	sum	88
41	VC_1849	sum	86
42	VC_2753	sum	86
43	VC_3111	sum	86
44	VC_3043	sum	86
45	VC_1206	sum	85
46	VC_1210	sum	83
47	VC_1235	sum	81
48	VC_1971	sum	81
49	VC_3901	sum	79
50	VC_2420	sum	79
51	VC_2470	sum	78
52	VC_2206	sum	78
53	VC_1848	sum	77
