Phage,Host,Source
2239.024927,2324.171699,Chicken
6206.178419,5075.998869,Chicken
3818.324302,2024.635016,Chicken
31329.87411,18982.43734,Chicken
6990.544383,5804.120573,Chicken
6336.12964,14720.13559,Chicken
16503.91447,10383.27749,Chicken
4582.925831,2886.215152,Chicken
12002.31421,6150.691572,Chicken
9634.29581,11390.61644,Chicken
4987.302944,4108.540649,Chicken
2714.694097,2024.685106,Chicken
4430.732405,3835.678803,Chicken
1967.119354,2784.880038,Chicken
42650.07534,10181.7792,Chicken
248178.7837,110727.92,Chicken
42678.60311,25708.33274,Chicken
73839.20561,43565.71225,Chicken
116191.5852,205918.8736,Chicken
58173.17718,59075.22384,Chicken
1226.081935,243.429787,Chicken
4881.568698,1561.028494,Chicken
4639.149956,2360.862792,Chicken
796.207533,280.574403,Chicken
71365.14708,2841.813739,Chicken
67286.07649,1263.936143,Chicken
1230.265756,166.849273,Chicken
97264.74718,44873.18097,Chicken
10133.84219,322.63293,Chicken
207449.7058,118912.9092,Chicken
292526.0674,276265.3317,Chicken
109567.2271,33790.54921,Chicken
809.57592,92.072367,Chicken
40833.44341,32031.20596,Chicken
876.62335,158.054706,Chicken
975.802398,72.974113,Chicken
466.82059,94.40566,Chicken
671.171088,135.532108,Chicken
7184.44751,1664.702457,Chicken
18800.25835,7814.77899,Chicken
123986.8789,76185.38703,Chicken
68587.269,58442.84665,Chicken
33925.218,13965.06067,Chicken
22249.91786,26708.19366,Chicken
2490.654207,174.818762,Chicken
49560.39534,23332.2158,Chicken
34558.49862,5052.792478,Chicken
137159.4471,203485.2509,Chicken
36862.37962,24445.44881,Chicken
8281.047091,2121.771572,Chicken
1948.779917,323.723489,Chicken
556.604707,186.999352,Chicken
4008.614953,2014.33788,Chicken
52093.00868,3787.255146,Chicken
104889.9604,22863.47944,Chicken
1718.16316,1570.764959,Chicken
1106.67199,451.201181,Chicken
5753.842418,2914.100052,Chicken
3613.71948,1209.173221,Chicken
3617.74024,1406.939134,Chicken
4524.17654,2980.472575,Chicken
35168.30512,16203.98235,Chicken
4950.47531,2158.196622,Chicken
118377.0219,60122.72199,Chicken
2767.89987,815.775046,Chicken
65399.08713,41723.01335,Chicken
1080.634825,304.823885,Chicken
651.346744,138.663865,Chicken
20014.49247,10101.56965,Chicken
6728.189178,2224.020658,Chicken
232811.8573,126698.3258,Chicken
74788.89514,104982.5889,Chicken
127252.6179,140399.2268,Chicken
187363.2119,80425.72445,Chicken
37498.92834,8192.218844,Chicken
193245.2052,73492.91455,Chicken
136170.9513,80201.55056,Chicken
339559.7866,140557.8904,Chicken
7791.979033,3817.717887,Chicken
5661.811149,1930.393828,Chicken
4820.411567,2667.755451,Chicken
15387.36631,6042.43808,Chicken
687.24943,315.705521,Chicken
3451.956653,1167.754127,Chicken
16832.13858,1992.993483,Chicken
12511.21162,5605.69665,Chicken
209.693822,59.293842,Chicken
784.920379,177.733569,Chicken
34942.05527,995.78734,Chicken
14583.08824,886.1688,Chicken
34337.64447,2102.215053,Chicken
42292.93559,2373.376461,Chicken
16447.41758,4860.20416,Chicken
154670.7947,143038.7525,Chicken
25668.30561,602.965466,Chicken
29077.8956,340.488317,Chicken
63906.02222,2138.821368,Chicken
43398.11027,1120.007848,Chicken
20142.41641,4321.415035,Chicken
7358.603312,2005.095606,Chicken
34249.61785,3839.779861,Chicken
106430.3059,62155.94164,Chicken
255034.0757,464137.9914,Chicken
123203.5276,33688.39996,Chicken
188384.9059,288234.6603,Chicken
27943.54427,2352.069481,Chicken
91577.65732,17657.19944,Chicken
210198.2207,231844.6626,Chicken
657.799505,800.281207,Chicken
16245.70922,1593.317537,Chicken
1649.3284,842.035419,Chicken
175320.2616,154332.8107,Chicken
6906.193,52973.74785,Chicken
55553.11097,3514.886981,Chicken
6415.062241,2431.341106,Chicken
72266.99702,25042.29652,Chicken
11192.30599,3399.31621,Chicken
25673.80576,2332.843626,Chicken
502115.8117,597370.9691,Chicken
60980.7347,34539.54694,Chicken
66729.00286,4476.869212,Chicken
25005.9836,352.544559,Chicken
39773.12606,953.169523,Chicken
60619.86101,1379.68015,Chicken
29571.61805,5003.36463,Chicken
245213.2419,291744.5736,Chicken
58374.80746,36823.07132,Chicken
58129.59956,2609.285043,Chicken
136834.5487,61078.34251,Chicken
28883.86661,4143.701408,Chicken
3518.341461,1382.985287,Chicken
196446.2773,120252.7002,Chicken
